Timestamp;Gefsaypce;G_Glob;Ta;Hum_Rel;Tc;EDC;Pot_gen;EACAC;Pot_inv;Vmpp_panel;V_gen;I_gen;;
01/01/2025 01:00;0;0,0;0,0;89,0;0,0000;0;0,0;0;0,0;19,6498995;196,5;0,0000;;
01/01/2025 01:10;0;0,0;0,0;89,3;0,0000;0;0,0;0;0,0;19,6498995;196,5;0,0000;;
01/01/2025 01:20;0;0,0;0,0;89,6;0,0000;0;0,0;0;0,0;19,6498995;196,5;0,0000;;
01/01/2025 01:30;0;0,0;3,8;89,9;3,8000;0;0,0;0;0,0;19,4447148;194,4;0,0000;;
01/01/2025 01:40;0;0,0;3,9;90,3;3,9000;0;0,0;0;0,0;19,4393152;194,4;0,0000;;
01/01/2025 01:50;0;0,0;3,9;90,6;3,9000;0;0,0;0;0,0;19,4393152;194,4;0,0000;;
01/01/2025 02:00;0;0,0;4,0;90,9;4,0000;0;0,0;0;0,0;19,4339156;194,3;0,0000;;
01/01/2025 02:10;0;0,0;4,0;91,2;4,0000;0;0,0;0;0,0;19,4339156;194,3;0,0000;;
01/01/2025 02:20;0;0,0;4,0;91,5;4,0000;0;0,0;0;0,0;19,4339156;194,3;0,0000;;
01/01/2025 02:30;0;0,0;4,1;91,8;4,1000;0;0,0;0;0,0;19,4285160;194,3;0,0000;;
01/01/2025 02:40;0;0,0;4,1;92,2;4,1000;0;0,0;0;0,0;19,4285160;194,3;0,0000;;
01/01/2025 02:50;0;0,0;4,1;92,5;4,1000;0;0,0;0;0,0;19,4285160;194,3;0,0000;;
01/01/2025 03:00;0;0,0;4,2;92,8;4,2000;0;0,0;0;0,0;19,4231164;194,2;0,0000;;
01/01/2025 03:10;0;0,0;4,2;93,1;4,2000;0;0,0;0;0,0;19,4231164;194,2;0,0000;;
01/01/2025 03:20;0;0,0;4,2;93,4;4,2000;0;0,0;0;0,0;19,4231164;194,2;0,0000;;
01/01/2025 03:30;0;0,0;4,3;93,7;4,3000;0;0,0;0;0,0;19,4177168;194,2;0,0000;;
01/01/2025 03:40;0;0,0;4,3;94,1;4,3000;0;0,0;0;0,0;19,4177168;194,2;0,0000;;
01/01/2025 03:50;0;0,0;4,3;94,4;4,3000;0;0,0;0;0,0;19,4177168;194,2;0,0000;;
01/01/2025 04:00;0;0,0;4,4;94,7;4,4000;0;0,0;0;0,0;19,4123172;194,1;0,0000;;
01/01/2025 04:10;0;0,0;4,4;95,0;4,4000;0;0,0;0;0,0;19,4123172;194,1;0,0000;;
01/01/2025 04:20;0;0,0;4,5;95,3;4,5000;0;0,0;0;0,0;19,4069176;194,1;0,0000;;
01/01/2025 04:30;0;0,0;4,5;95,6;4,5000;0;0,0;0;0,0;19,4069176;194,1;0,0000;;
01/01/2025 04:40;0;0,0;4,5;95,9;4,5000;0;0,0;0;0,0;19,4069176;194,1;0,0000;;
01/01/2025 04:50;0;0,0;4,6;96,3;4,6000;0;0,0;0;0,0;19,4015180;194,0;0,0000;;
01/01/2025 05:00;0;0,0;4,6;96,6;4,6000;0;0,0;0;0,0;19,4015180;194,0;0,0000;;
01/01/2025 05:10;0;0,0;4,6;96,9;4,6000;0;0,0;0;0,0;19,4015180;194,0;0,0000;;
